accession,name,ftp_path
GCA_019395295.1,GCA_019395295.1 O.fragrans.LYG.hic.fasta Osmanthus fragrans,
GCA_023846275.1,GCA_023846275.1 ASM2384627v1 Vanilla planifolia,
GCA_030737815.1,GCA_030737815.1 ASM3073781v1 Allium fistulosum,
GCF_958298935.1,GCF_958298935.1 lpPhrAust1.1 Phragmites australis,
GCA_016432845.1,GCA_016432845.1 guava_v11.23 Psidium guajava,
GCA_030686995.1,GCA_030686995.1 ASM3068699v1 Artemisia argyi,
GCA_028015215.1,GCA_028015215.1 ASM2801521v1 Gynostemma pentaphyllum,
GCA_030145905.1,GCA_030145905.1 NIFOS_PopDav_1.0 Populus davidiana,
GCA_007844245.1,GCA_007844245.1 ASM784424v1 Pyrus betulifolia,
GCA_022457205.1,GCA_022457205.1 ASM2245720v1 Saccharum spontaneum,
GCF_003073215.2,GCF_003073215.2 Tu2.1 Triticum urartu,
GCA_003952965.2,GCA_003952965.2 Mru_ZJU_2 Morella rubra,
GCF_002162155.2,GCF_002162155.2 WEW_v2.1 Triticum dicoccoides,
GCF_001865875.1,GCF_001865875.1 LupAngTanjil_v1.0 Lupinus angustifolius,
GCA_016760335.1,GCA_016760335.1 NIFOS_GasEla_1.0 Gastrodia elata,
GCA_000576495.2,GCA_000576495.2 OgluRS3 Oryza glumipatula,
GCA_032199755.1,GCA_032199755.1 A.artemisiifolia_dipasm_2023_h1_p Ambrosia artemisiifolia,
GCA_002890555.2,GCA_002890555.2 ZAAS_Lsic_2.0 Lagenaria siceraria,
GCA_030142095.1,GCA_030142095.1 RiMJ Rubus idaeus,
GCA_017139565.1,GCA_017139565.1 ASM1713956v1 Luffa aegyptiaca,
GCA_009771035.1,GCA_009771035.1 CNRS_Lalb_1.0 Lupinus albus,
GCA_023678885.1,GCA_023678885.1 GZUCM_PCab_1.0 Pogostemon cablin,
GCA_964106015.1,GCA_964106015.1 ddPopTrem1.hap1.1 Populus tremula,
GCA_030545235.1,GCA_030545235.1 HelTub_1.0 Helianthus tuberosus,
GCA_020875875.1,GCA_020875875.1 Dalata_v2 Dioscorea alata,
GCA_039655645.1,GCA_039655645.1 Am_WGS_v1.0 Ammopiptanthus mongolicus,
GCA_016624345.1,GCA_016624345.1 ASM1662434v1 Platycodon grandiflorus,
GCA_028984105.1,GCA_028984105.1 UGA_lav_v1 Lavandula angustifolia,
GCA_010577795.1,GCA_010577795.1 ASM1057779v1 Isatis tinctoria,
GCA_013103745.1,GCA_013103745.1 ASM1310374v1 Gardenia jasminoides,
GCA_005771605.1,GCA_005771605.1 ASM577160v1 Scutellaria baicalensis,
GCA_009905375.1,GCA_009905375.1 ASM990537v1 Apium graveolens,
GCA_019097785.1,GCA_019097785.1 FRAX_001_PL Fraxinus excelsior,
GCA_036186865.1,GCA_036186865.1 ASM3618686v1 Eustoma grandiflorum,
GCF_009727055.1,GCF_009727055.1 ASM972705v1 Benincasa hispida,
GCA_907173295.1,GCA_907173295.1 Bhaga_Chr Fagus sylvatica,
GCA_019155195.1,GCA_019155195.1 amgenome_v1.0 Avicennia marina,
GCF_001531365.2,GCF_001531365.2 CcrdV1.1 Cynara cardunculus var. scolymus,
GCA_023525745.1,GCA_023525745.1 ASM2352574v1 Arctium lappa,
GCA_964197575.1,GCA_964197575.1 drVicSati1.hap1.1 Vicia sativa,
GCA_030378355.1,GCA_030378355.1 ASM3037835v1 Eleusine indica,
GCA_023653625.1,GCA_023653625.1 ASM2365362v1 Triadica sebifera,
GCA_030770085.1,GCA_030770085.1 ASM3077008v1 Oryza coarctata,
GCA_000576065.2,GCA_000576065.2 OnivRS2 Oryza nivara,
GCA_023525715.1,GCA_023525715.1 ASM2352571v1 Cichorium intybus,
GCA_022749755.1,GCA_022749755.1 ASM2274975v1 Azadirachta indica,
GCA_019776745.2,GCA_019776745.2 Ta-2021 Taxus chinensis,
GCA_007827005.2,GCA_007827005.2 Populus_simonii_2.0 Populus simonii,
GCA_009363875.1,GCA_009363875.1 ASM936387v1 Mikania micrantha,
GCF_004353265.1,GCF_004353265.1 EGFV_Vit.rip_1.0 Vitis riparia,
GCA_016618105.1,GCA_016618105.1 ASM1661810v1 Dendrobium huoshanense,
GCA_028274465.1,GCA_028274465.1 UofA_Burton_1 Plantago ovata,
GCF_001879085.1,GCF_001879085.1 NIATTr2 Nicotiana attenuata,
GCA_028551475.1,GCA_028551475.1 ASM2855147v1 Casuarina equisetifolia,
GCA_009763385.1,GCA_009763385.1 ASM976338v1 Coix lacryma-jobi var. lacryma-jobi,
GCA_040143545.1,GCA_040143545.1 ReSoon Reaumuria songarica,
GCA_037074535.1,GCA_037074535.1 ASM3707453v1 Gleditsia sinensis,
GCA_030867185.1,GCA_030867185.1 ASM3086718v1 Tagetes erecta,
GCA_911865555.2,GCA_911865555.2 T_arvense_v2 Thlaspi arvense,
GCA_030549335.1,GCA_030549335.1 CAS_Eicr_1.0 Pontederia crassipes,
GCA_030347555.1,GCA_030347555.1 ILRI_Lpur Lablab purpureus,
GCA_030272315.1,GCA_030272315.1 ASM3027231v1 Paspalum vaginatum,
GCA_013389735.1,GCA_013389735.1 COL_Plunatus_1.0 Phaseolus lunatus,
GCA_963859935.3,GCA_963859935.3 JIC_Lsat_v2.1.1 Lathyrus sativus,
GCA_004837865.1,GCA_004837865.1 BananaB_V1 Musa balbisiana,
GCA_039519185.1,GCA_039519185.1 ASM3951918v1 Astragalus membranaceus,
GCA_017979445.1,GCA_017979445.1 ASM1797944v1 Akebia trifoliata,
GCA_039720395.1,GCA_039720395.1 ZJU_Lfor_1.0 Liquidambar formosana,
GCA_022559845.1,GCA_022559845.1 ASM2255984v1 Amorphophallus konjac,
GCA_030979885.1,GCA_030979885.1 Rabiosa unphased assembly Lolium multiflorum,
GCA_014182545.1,GCA_014182545.1 ASM1418254v1 Eucalyptus globulus,
GCA_016081115.2,GCA_016081115.2 ASM1608111v2 Rehmannia glutinosa,
GCA_036759665.1,GCA_036759665.1 G_gynandra_v3.0 Gynandropsis gynandra,
GCF_000817695.3,GCF_000817695.3 aradu.V14167.gnm2.J7QH Arachis duranensis,
GCA_021397845.1,GCA_021397845.1 ASM2139784v1 Areca catechu,
GCA_029582165.1,GCA_029582165.1 ASM2958216v1 Portulaca oleracea,
GCA_000338895.3,GCA_000338895.3 OmerRS3 Oryza meridionalis,
GCA_000182155.4,GCA_000182155.4 ObarRS3 Oryza barthii,
GCF_000231095.2,GCF_000231095.2 ObraRS2 Oryza brachyantha,
GCA_010134655.1,GCA_010134655.1 ASM1013465v1 Fragaria nilgerrensis,
GCA_040144305.1,GCA_040144305.1 ASM4014430v1 Paulownia fortunei,
GCA_023638005.1,GCA_023638005.1 ASM2363800v1 Forsythia suspensa,
GCF_013401445.1,GCF_013401445.1 ASM1340144v1 Tripterygium wilfordii,
GCA_017311315.1,GCA_017311315.1 mabamboo_1.0 Dendrocalamus latiflorus,
GCA_963920805.1,GCA_963920805.1 ddPriVulg1.1 Primula vulgaris,
GCF_010389155.1,GCF_010389155.1 C_canadensis_v1 Erigeron canadensis,
GCA_019925795.1,GCA_019925795.1 ASM1992579v1 Dendrobium chrysotoxum,
GCA_036785865.1,GCA_036785865.1 ASM3678586v1 Coffea canephora,
GCA_021234005.1,GCA_021234005.1 ASM2123400v1 Nephelium lappaceum,
GCA_021464305.1,GCA_021464305.1 ASM2146430v1 Kandelia obovata,
GCA_018208015.1,GCA_018208015.1 ASM1820801v1 Medicago ruthenica,
GCF_023119035.1,GCF_023119035.1 UniMelb_Shisp_WGS_1.0 Salvia hispanica,
GCA_912172775.2,GCA_912172775.2 Fraxinus pennsylvanica genome version 1.5 Fraxinus pennsylvanica,
GCA_040182965.1,GCA_040182965.1 ASM4018296v1 Clitoria ternatea,
GCA_037693485.1,GCA_037693485.1 ASM3769348v1 Kitagawia praeruptora,
GCA_022530915.1,GCA_022530915.1 ASM2253091v1 Paspalum notatum,
GCA_025413875.1,GCA_025413875.1 RHMOLv1 Rhododendron molle,
GCF_947179165.1,GCF_947179165.1 daSolDulc1.2 Solanum dulcamara,
GCA_018361395.1,GCA_018361395.1 NTU_Bstr_SAD12_2.2 Boechera stricta,
GCA_026413675.1,GCA_026413675.1 ASM2641367v1 Populus pruinosa,
GCA_037074615.1,GCA_037074615.1 ASM3707461v1 Leucaena leucocephala,
GCA_027405865.1,GCA_027405865.1 94003 Monoecious Salix purpurea Haplotype 2 assembly Salix purpurea,
GCA_037954015.1,GCA_037954015.1 Ptet_1 Psophocarpus tetragonolobus,
GCA_030549775.1,GCA_030549775.1 ASM3054977v1 Tamarix chinensis,
GCA_036507275.1,GCA_036507275.1 ASM3650727v1 Sicyos edulis,
GCA_028751855.1,GCA_028751855.1 ASM2875185v1 Ambrosia trifida,
GCA_019202805.1,GCA_019202805.1 ASM1920280v1 Arabidopsis suecica,
GCA_020080225.1,GCA_020080225.1 ASM2008022v1 Gynochthodes officinalis,
GCA_037832385.1,GCA_037832385.1 SYSU_Rhapic_HiC Rhizophora apiculata,
GCA_964102825.1,GCA_964102825.1 dhQuePetr1.hap1.1 Quercus petraea,
GCF_014633365.1,GCF_014633365.1 ASM1463336v1 Diospyros lotus,
GCA_035136125.1,GCA_035136125.1 Qrubra_687_v2.0 Quercus rubra,
GCA_028641055.1,GCA_028641055.1 Alomy_genome_v1 Alopecurus myosuroides,
GCA_021437245.1,GCA_021437245.1 ASM2143724v1 Aegilops speltoides,
GCA_029856935.1,GCA_029856935.1 ASM2985693v1 Cyclocarya paliurus,
GCF_002211085.1,GCF_002211085.1 PHallii_v3.1 Panicum hallii,
GCA_020205505.1,GCA_020205505.1 ASM2020550v1 Panax japonicus,
GCA_025403435.1,GCA_025403435.1 ASM2540343v1 Artocarpus heterophyllus,
GCF_958449725.1,GCF_958449725.1 drRosRugo1.1 Rosa rugosa,
GCA_032847665.1,GCA_032847665.1 ASM3284766v1 Solanum chilense,
GCA_034093135.1,GCA_034093135.1 ASM3409313v1 Erigeron breviscapus,
GCA_000753965.2,GCA_000753965.2 IBAB_Ahyp_2.0 Amaranthus hypochondriacus,
GCA_014636745.2,GCA_014636745.2 ASM1463674v2 Centella asiatica,
GCA_002993905.1,GCA_002993905.1 Msac_v3 Miscanthus sacchariflorus,
GCA_029816415.1,GCA_029816415.1 ASM2981641v1 Melastoma malabathricum subsp. normale,
GCA_015680905.1,GCA_015680905.1 ASM1568090v1 Coptis chinensis,
GCF_963576675.1,GCF_963576675.1 ddEupLath1.1 Euphorbia lathyris,
GCA_039707655.1,GCA_039707655.1 ASM3970765v1 Elymus sibiricus,
GCA_037074985.1,GCA_037074985.1 ASM3707498v1 Solanum bulbocastanum,
GCA_028830015.1,GCA_028830015.1 ASM2883001v1 Eucalyptus grandis x Eucalyptus urophylla,
GCA_030345395.1,GCA_030345395.1 ASM3034539v1 Prunus mongolica,
GCA_033629205.1,GCA_033629205.1 ASM3362920v1 Lithocarpus polystachyus,
GCA_036874045.1,GCA_036874045.1 Cymodocea nodosa var. Cn_1 HAP2 version 1.0 Cymodocea nodosa,
